P7_mean,FC5_entropy,Oz_entropy,class
0.006429184,7241.139006,8201.004352,h
0.003371305,25736.97072,8244.577172,l
0.000456688,25777.46066,62656.57472,p
0.000637374,31058.57,11757.79306,n
-0.000361664,8450.576119,13198.51512,p
0.222832516,687.8909119,505.1375198,l
0.036196129,-3169.218139,1392.776173,h
0.081688139,7140.059937,6179.193956,h
0.001394209,102978.3164,13813.10971,n
-0.001326157,7659.269879,-150018.2995,l
-0.010351597,13936.01466,41218.90032,p
0.002860173,17388.00362,16874.54771,n
-0.003557337,9157.047976,4385.839426,h
-0.001395974,23025.35858,18643.66969,p
0.018378482,1912.916067,2984.711142,l
0.00123566,13290.48739,11560.24056,p
0.003370991,33446.48396,25143.74391,n
0.002349376,55730.80103,13920.29426,n
0.004776809,7743.634072,15107.75671,h
